time,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9
27.539000000010674,-0.016799379140138626,0.10467369854450226,0.19096333277225494,-0.3293953264504671,0.2568667637109756,-0.023726515471935272,-0.01839706115424633,0.1574529309272766,-0.4639253920316696,0.2529242033064365
27.540000000010675,-0.016799379140138626,0.10467369854450226,0.19096333277225494,-0.3293953264504671,0.2568667637109756,-0.023726515471935272,-0.01839706115424633,0.1574529309272766,-0.4639253920316696,0.2529242033064365
27.541000000010676,-0.02041168138384819,0.13067114353179932,0.1930485342144966,-0.32721883863210677,0.2614046664834022,-0.02941008284687996,-0.04294297844171524,0.16339330305159092,-0.500900045633316,0.28530352878570553
27.542000000010677,-0.02041168138384819,0.13067114353179932,0.1930485342144966,-0.32721883863210677,0.2614046664834022,-0.02941008284687996,-0.04294297844171524,0.16339330305159092,-0.500900045633316,0.28530352878570553
27.54300000001068,-0.02041168138384819,0.13067114353179932,0.1930485342144966,-0.32721883863210677,0.2614046664834022,-0.02941008284687996,-0.04294297844171524,0.16339330305159092,-0.500900045633316,0.28530352878570553
27.54400000001068,-0.02041168138384819,0.13067114353179932,0.1930485342144966,-0.32721883863210677,0.2614046664834022,-0.02941008284687996,-0.04294297844171524,0.16339330305159092,-0.500900045633316,0.28530352878570553
27.54500000001068,-0.02041168138384819,0.13067114353179932,0.1930485342144966,-0.32721883863210677,0.2614046664834022,-0.02941008284687996,-0.04294297844171524,0.16339330305159092,-0.500900045633316,0.28530352878570553
27.546000000010682,-0.02041168138384819,0.13067114353179932,0.1930485342144966,-0.32721883863210677,0.2614046664834022,-0.02941008284687996,-0.04294297844171524,0.16339330305159092,-0.500900045633316,0.28530352878570553
27.547000000010684,-0.02041168138384819,0.13067114353179932,0.1930485342144966,-0.32721883863210677,0.2614046664834022,-0.02941008284687996,-0.04294297844171524,0.16339330305159092,-0.500900045633316,0.28530352878570553
27.548000000010685,-0.02041168138384819,0.13067114353179932,0.1930485342144966,-0.32721883863210677,0.2614046664834022,-0.02941008284687996,-0.04294297844171524,0.16339330305159092,-0.500900045633316,0.28530352878570553
27.549000000010686,-0.02041168138384819,0.13067114353179932,0.1930485342144966,-0.32721883863210677,0.2614046664834022,-0.02941008284687996,-0.04294297844171524,0.16339330305159092,-0.500900045633316,0.28530352878570553
